CMDLINE C:\Users\Sourour\AppData\Local\Programs\Python\Python311\python.exe Scraper(Motory)[SD]{Modified}.py
MEM 96.089844 1707396825.7363
MEM 96.089844 1707396825.8369
MEM 96.089844 1707396825.9375
MEM 96.089844 1707396826.0376
MEM 96.089844 1707396826.1381
MEM 96.089844 1707396826.2487
MEM 96.089844 1707396826.3492
MEM 96.089844 1707396826.4498
MEM 96.089844 1707396826.5505
MEM 96.089844 1707396826.6510
MEM 96.089844 1707396826.7515
MEM 96.089844 1707396826.8521
MEM 96.089844 1707396826.9523
MEM 96.089844 1707396827.0528
MEM 96.089844 1707396827.1534
MEM 96.089844 1707396827.2536
MEM 96.089844 1707396827.3538
MEM 96.089844 1707396827.4540
MEM 96.089844 1707396827.5546
MEM 96.089844 1707396827.6551
MEM 96.089844 1707396827.7553
MEM 96.089844 1707396827.8558
MEM 96.089844 1707396827.9564
MEM 96.089844 1707396828.0566
MEM 96.089844 1707396828.1572
MEM 96.089844 1707396828.2575
MEM 96.089844 1707396828.3580
MEM 96.089844 1707396828.4582
MEM 96.089844 1707396828.5589
MEM 96.089844 1707396828.6594
MEM 96.089844 1707396828.7599
MEM 96.089844 1707396828.8604
MEM 96.089844 1707396828.9607
MEM 96.089844 1707396829.0609
MEM 96.089844 1707396829.1610
MEM 96.089844 1707396829.2616
MEM 96.089844 1707396829.3622
MEM 96.089844 1707396829.4624
MEM 96.089844 1707396829.5626
MEM 96.089844 1707396829.6632
MEM 96.089844 1707396829.7633
MEM 96.089844 1707396829.8639
MEM 96.089844 1707396829.9645
MEM 96.089844 1707396830.0655
MEM 96.089844 1707396830.1661
MEM 96.085938 1707396830.2662
MEM 96.085938 1707396830.3664
MEM 96.085938 1707396830.4665
MEM 96.085938 1707396830.5671
MEM 96.085938 1707396830.6674
MEM 96.085938 1707396830.7679
MEM 96.085938 1707396830.8685
MEM 96.085938 1707396830.9716
MEM 96.085938 1707396831.0736
MEM 96.085938 1707396831.1739
MEM 96.085938 1707396831.2748
MEM 96.085938 1707396831.3754
MEM 96.085938 1707396831.4759
MEM 96.085938 1707396831.5771
MEM 96.085938 1707396831.6773
MEM 96.085938 1707396831.7778
MEM 96.085938 1707396831.8782
MEM 96.085938 1707396831.9789
MEM 96.085938 1707396832.0791
MEM 96.085938 1707396832.1794
MEM 96.085938 1707396832.2800
MEM 96.085938 1707396832.3802
MEM 96.085938 1707396832.4805
MEM 96.085938 1707396832.5811
MEM 96.085938 1707396832.6814
MEM 96.085938 1707396832.7821
MEM 96.085938 1707396832.8823
MEM 96.085938 1707396832.9828
MEM 96.085938 1707396833.0832
MEM 96.085938 1707396833.1835
MEM 96.085938 1707396833.2841
MEM 96.085938 1707396833.3848
MEM 96.085938 1707396833.4850
MEM 96.085938 1707396833.5853
MEM 96.085938 1707396833.6857
MEM 96.085938 1707396833.7861
MEM 96.085938 1707396833.8866
MEM 96.085938 1707396833.9872
MEM 96.085938 1707396834.0877
MEM 96.085938 1707396834.1879
MEM 96.085938 1707396834.2886
MEM 96.085938 1707396834.3893
MEM 96.085938 1707396834.4899
MEM 96.085938 1707396834.5900
MEM 96.085938 1707396834.6906
MEM 96.085938 1707396834.7911
MEM 96.085938 1707396834.8914
MEM 96.085938 1707396834.9917
MEM 96.085938 1707396835.0923
MEM 96.085938 1707396835.1928
MEM 96.093750 1707396835.2931
MEM 96.214844 1707396835.3935
MEM 96.277344 1707396835.4940
MEM 96.277344 1707396835.5942
MEM 96.277344 1707396835.6946
MEM 96.519531 1707396835.7950
MEM 99.121094 1707396835.8956
MEM 99.125000 1707396835.9960
MEM 99.128906 1707396836.0963
MEM 99.128906 1707396836.1965
MEM 99.128906 1707396836.2968
MEM 99.480469 1707396836.3973
MEM 101.253906 1707396836.4975
MEM 101.265625 1707396836.5978
MEM 101.292969 1707396836.6984
MEM 101.308594 1707396836.7987
MEM 101.382812 1707396836.8990
MEM 101.695312 1707396836.9996
MEM 101.976562 1707396837.1002
MEM 102.304688 1707396837.2006
MEM 102.617188 1707396837.3012
MEM 102.960938 1707396837.4016
MEM 103.078125 1707396837.5022
MEM 103.078125 1707396837.6026
MEM 103.078125 1707396837.7031
MEM 103.078125 1707396837.8033
MEM 103.078125 1707396837.9035
MEM 103.078125 1707396838.0037
MEM 103.078125 1707396838.1041
MEM 103.078125 1707396838.2043
MEM 103.078125 1707396838.3049
MEM 103.078125 1707396838.4051
MEM 103.078125 1707396838.5055
MEM 103.078125 1707396838.6061
MEM 103.078125 1707396838.7066
MEM 103.082031 1707396838.8072
MEM 103.082031 1707396838.9074
MEM 103.082031 1707396839.0076
MEM 103.082031 1707396839.1080
MEM 103.082031 1707396839.2088
MEM 103.082031 1707396839.3090
MEM 103.082031 1707396839.4095
MEM 103.082031 1707396839.5097
MEM 103.089844 1707396839.6099
MEM 103.089844 1707396839.7101
MEM 103.089844 1707396839.8103
MEM 103.089844 1707396839.9107
MEM 103.089844 1707396840.0110
MEM 103.089844 1707396840.1113
MEM 103.089844 1707396840.2116
MEM 103.089844 1707396840.3118
MEM 103.089844 1707396840.4122
MEM 103.089844 1707396840.5124
MEM 103.089844 1707396840.6131
MEM 103.089844 1707396840.7137
MEM 103.089844 1707396840.8139
MEM 103.089844 1707396840.9144
MEM 103.089844 1707396841.0146
MEM 103.089844 1707396841.1148
MEM 103.089844 1707396841.2151
MEM 103.089844 1707396841.3157
